"","loan_amnt","term","int_rate","grade","sub_grade","emp_length","home_ownership","annual_inc","verification_status","purpose","zip_code","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc"
"304238",11050," 36 months",18.24,"D","D5","4 years","RENT",37000,"Source Verified","debt_consolidation","787xx",14.73,0,"Nov-06",0,6,0,9040,99.3,9
"417010",25000," 60 months",17.57,"D","D2","2 years","MORTGAGE",85000,"Source Verified","debt_consolidation","759xx",14.51,3,"Oct-93",0,7,0,26512,84.4,24
"383657",35000," 60 months",14.99,"C","C5","10+ years","MORTGAGE",198000,"Source Verified","credit_card","100xx",8.23,0,"Apr-98",3,9,1,5653,25.3,17
"239915",20025," 36 months",12.99,"C","C2","4 years","RENT",55750,"Source Verified","debt_consolidation","468xx",18.58,0,"Aug-03",1,14,0,23322,56.1,24
"464708",5000," 36 months",9.67,"B","B1","10+ years","MORTGAGE",90000,"Not Verified","home_improvement","452xx",8.28,0,"Oct-88",1,7,0,5657,38.2,23
"33627",5000," 36 months",8.94,"A","A5","6 years","RENT",41017.56,"Not Verified","credit_card","775xx",14.16,0,"Dec-99",0,4,0,4463,28.8,12
"127062",15000," 36 months",14.09,"B","B5","10+ years","MORTGAGE",85000,"Not Verified","credit_card","959xx",23.08,0,"Apr-99",1,14,0,13777,82,25
"310200",12000," 36 months",12.99,"C","C1","9 years","MORTGAGE",51000,"Verified","credit_card","335xx",16.12,0,"Mar-05",0,7,0,15148,77.7,12
"557680",18400," 60 months",18.25,"E","E1","3 years","RENT",40000,"Not Verified","major_purchase","918xx",1.8,0,"Mar-09",0,5,0,3929,22.6,6
"702276",20000," 36 months",10.99,"B","B4","2 years","OWN",1e+05,"Verified","house","750xx",2.94,0,"Mar-10",1,6,0,4456,29.7,9
"685136",8000," 36 months",7.26,"A","A4","4 years","RENT",40000,"Source Verified","debt_consolidation","941xx",13.47,0,"Jun-02",0,12,0,9691,46.8,21
"666771",9000," 36 months",9.17,"B","B2","10+ years","RENT",1e+05,"Source Verified","debt_consolidation","331xx",13.96,0,"Aug-91",0,12,0,21674,56.2,24
"95393",3000," 36 months",13.68,"C","C1","4 years","RENT",90000,"Not Verified","credit_card","110xx",10.8,0,"Jun-95",1,16,0,11520,53.6,51
"291680",5000," 36 months",12.99,"C","C1","< 1 year","RENT",23040,"Not Verified","debt_consolidation","958xx",21.09,0,"Apr-09",0,10,0,5697,67.8,10
"114973",12000," 36 months",10.64,"B","B2","5 years","MORTGAGE",35000,"Not Verified","debt_consolidation","240xx",20.64,0,"Jun-99",0,15,0,15614,52.9,28
"99994",20400," 60 months",17.56,"D","D1","8 years","RENT",63000,"Verified","debt_consolidation","209xx",15.18,0,"Jan-07",0,10,2,12110,67.7,11
"35953",5000," 36 months",16.32,"E","E3","4 years","RENT",70000,"Verified","debt_consolidation","946xx",16.75,0,"Apr-05",0,10,0,3901,95.1,13
"742967",16950," 60 months",22.99,"F","F2","10+ years","MORTGAGE",65000,"Not Verified","other","210xx",5,0,"Dec-79",2,10,0,6627,35.2,18
"435339",8000," 36 months",16.59,"D","D1","10+ years","MORTGAGE",44000,"Verified","home_improvement","331xx",9.93,1,"Apr-00",1,9,0,4124,61.6,52
"457550",6000," 36 months",10.99,"B","B2","10+ years","RENT",90000,"Not Verified","credit_card","850xx",2.91,0,"Jun-98",0,5,1,5797,41,15
"839521",10000," 36 months",6.92,"A","A4","1 year","OWN",45000,"Not Verified","credit_card","757xx",8.42,0,"Jun-04",0,17,0,11181,30.6,18
"667755",16200," 36 months",18.25,"E","E1","10+ years","MORTGAGE",45000,"Source Verified","other","606xx",17.44,1,"Feb-01",0,6,0,11284,59.4,14
"883562",6000," 36 months",7.49,"A","A4","10+ years","MORTGAGE",1e+05,"Not Verified","debt_consolidation","488xx",12.43,1,"Mar-84",2,13,0,31213,65,29
"449652",16000," 36 months",8.9,"A","A5","7 years","RENT",82620,"Verified","debt_consolidation","112xx",12.61,0,"Nov-88",0,11,0,14835,71.1,15
"33300",5000," 36 months",12.18,"B","B4","2 years","RENT",23000,"Not Verified","debt_consolidation","303xx",9.08,0,"Oct-89",1,5,1,5999,40.8,9
"647607",7500," 36 months",11.53,"B","B5","1 year","MORTGAGE",140000,"Not Verified","credit_card","076xx",9.85,2,"Aug-90",2,18,0,19587,24.5,62
"331606",34875," 60 months",20.99,"E","E4","2 years","MORTGAGE",83200,"Verified","debt_consolidation","900xx",14.38,0,"Sep-05",3,13,0,23900,46.7,22
"744347",28000," 36 months",5.32,"A","A1","10+ years","MORTGAGE",127088,"Source Verified","credit_card","346xx",23.33,0,"Jan-01",0,11,0,185868,94.5,23
"43124",27575," 60 months",24.99,"F","F4","10+ years","MORTGAGE",82000,"Source Verified","debt_consolidation","080xx",16,0,"Oct-00",1,11,0,12292,52.8,19
"752738",10000," 36 months",6.92,"A","A4","6 years","RENT",34000,"Source Verified","debt_consolidation","347xx",29.4,0,"Oct-07",1,10,0,11615,45.5,11
"340986",7200," 36 months",11.67,"B","B4","3 years","RENT",50000,"Not Verified","debt_consolidation","380xx",18.84,0,"Aug-09",0,17,0,7733,45.5,22
"714194",14000," 36 months",16.99,"D","D3","2 years","MORTGAGE",70980,"Verified","debt_consolidation","485xx",39.04,1,"Jul-96",1,24,0,34345,62,54
"287433",33500," 36 months",17.57,"D","D4","2 years","RENT",95000,"Verified","small_business","605xx",20.19,1,"Jan-05",0,8,0,19871,85.4,22
"594810",12000," 36 months",9.17,"B","B2","5 years","MORTGAGE",65000,"Not Verified","debt_consolidation","401xx",23.87,0,"Jul-01",0,13,0,5846,63.5,38
"671735",12000," 36 months",6.89,"A","A3","5 years","RENT",117000,"Source Verified","debt_consolidation","907xx",6.17,0,"Apr-90",0,9,0,12361,66.1,17
"672301",8000," 36 months",11.53,"B","B5","10+ years","OWN",40800,"Not Verified","debt_consolidation","285xx",16.88,0,"Oct-97",0,21,0,17495,52.4,46
"515032",26050," 60 months",22.99,"F","F2","10+ years","MORTGAGE",65062.4,"Verified","debt_consolidation","761xx",39.83,0,"Aug-97",1,15,0,54267,73,30
"364173",18000," 36 months",11.67,"B","B4","1 year","MORTGAGE",60000,"Source Verified","debt_consolidation","655xx",20.94,2,"Dec-99",0,11,0,11135,47.6,24
"237115",7200," 36 months",13.66,"C","C3","8 years","MORTGAGE",145000,"Source Verified","debt_consolidation","088xx",14.8,0,"Nov-03",1,28,0,24562,89,37
"462006",21000," 60 months",16.24,"C","C5","10+ years","OWN",62550,"Verified","debt_consolidation","440xx",19.49,0,"Oct-91",0,7,0,30650,79.4,30
"244214",7800," 36 months",8.67,"B","B1","< 1 year","RENT",44400,"Source Verified","credit_card","967xx",28.57,1,"Feb-06",0,6,0,6524,51,14
"818651",9800," 36 months",6.39,"A","A2","1 year","RENT",25000,"Not Verified","credit_card","982xx",15.61,2,"May-07",0,7,0,6533,72.5,17
"483104",12000," 60 months",16.99,"D","D3","8 years","RENT",60000,"Source Verified","debt_consolidation","917xx",26.2,0,"Dec-01",1,13,0,18370,50.3,26
"27819",25000," 60 months",13.98,"C","C3","10+ years","RENT",69996,"Verified","debt_consolidation","981xx",8.09,0,"Jul-96",1,4,0,20574,88,8
"887344",5000," 36 months",13.66,"C","C3","10+ years","RENT",55000,"Verified","other","053xx",11.3,0,"Nov-02",0,2,0,497,38.2,5
"529729",6000," 36 months",6.89,"A","A3","10+ years","MORTGAGE",54000,"Not Verified","credit_card","770xx",33.82,0,"Sep-93",1,14,0,12649,15.4,28
"267361",35000," 60 months",18.24,"D","D5","10+ years","MORTGAGE",138000,"Verified","credit_card","331xx",25,0,"May-83",0,12,0,18018,41.1,29
"724763",5500," 36 months",10.99,"B","B4","< 1 year","RENT",65000,"Verified","credit_card","300xx",27.49,1,"Nov-00",1,17,0,16801,34.7,35
"442989",7500," 36 months",13.65,"C","C1","3 years","MORTGAGE",59823,"Source Verified","debt_consolidation","148xx",15.17,0,"Apr-88",3,13,0,5309,55.3,29
"511662",12000," 36 months",10.99,"B","B4","10+ years","MORTGAGE",50000,"Not Verified","debt_consolidation","780xx",19.76,3,"Oct-94",0,15,0,2399,12,31
"526292",28000," 60 months",10.99,"B","B4","4 years","MORTGAGE",125000,"Not Verified","home_improvement","117xx",20,0,"Oct-91",1,22,1,8474,12,34
"238350",29775," 60 months",15.99,"D","D2","10+ years","MORTGAGE",72000,"Source Verified","debt_consolidation","178xx",15.08,0,"Mar-92",0,9,0,10468,63.8,30
"761065",24000," 36 months",13.33,"C","C3","< 1 year","OWN",135000,"Verified","home_improvement","760xx",13.14,0,"Sep-83",2,10,0,6220,12.3,24
"117261",20000," 60 months",24.5,"F","F3","10+ years","RENT",55000,"Verified","debt_consolidation","104xx",6.89,0,"Feb-05",0,9,0,11218,51,13
"572260",30000," 60 months",18.55,"E","E2","10+ years","MORTGAGE",80000,"Source Verified","credit_card","799xx",24.77,0,"Mar-01",1,15,0,22097,80.6,39
"29875",7000," 36 months",7.88,"A","A5","1 year","RENT",18000,"Verified","other","026xx",21.28,0,"Aug-00",0,9,0,5832,27.8,24
"474653",7000," 36 months",11.22,"B","B5","< 1 year","MORTGAGE",50000,"Verified","credit_card","339xx",27.6,0,"Jan-04",0,11,1,3275,21,27
"208120",14075," 36 months",8.9,"A","A5","10+ years","OWN",36000,"Verified","debt_consolidation","062xx",15.37,1,"Jul-90",0,8,0,1424,13.5,41
"154959",35000," 36 months",17.77,"D","D1","10+ years","MORTGAGE",120000,"Verified","debt_consolidation","604xx",17.7,0,"Nov-97",0,12,0,32357,90.4,22
"121047",25475," 60 months",23.5,"F","F1","10+ years","MORTGAGE",106000,"Source Verified","home_improvement","334xx",22.28,2,"Jul-99",3,7,0,1924,42.8,29
"817342",20000," 36 months",9.17,"B","B2","3 years","MORTGAGE",1e+05,"Not Verified","debt_consolidation","752xx",4.8,1,"Mar-98",0,5,0,17938,88.8,13
"686798",28000," 36 months",13.99,"C","C4","10+ years","OWN",84000,"Verified","debt_consolidation","446xx",26.4,0,"Oct-85",1,13,0,20584,78,35
"571740",6400," 36 months",12.69,"C","C2","2 years","RENT",32000,"Source Verified","credit_card","142xx",22.62,1,"Jul-07",2,7,0,5746,50.8,15
"725358",10000," 36 months",10.99,"B","B4","2 years","RENT",65000,"Not Verified","credit_card","229xx",16.32,2,"Oct-96",1,13,0,18543,52.8,18
"591496",12000," 60 months",12.29,"C","C1","2 years","OWN",140000,"Source Verified","credit_card","331xx",8.01,0,"Jan-05",0,3,0,21507,88.9,6
"702597",7500," 36 months",12.29,"C","C1","4 years","MORTGAGE",35000,"Source Verified","debt_consolidation","381xx",15.12,0,"Feb-06",0,6,0,2217,56.8,9
"401466",8000," 36 months",10.99,"B","B2","10+ years","MORTGAGE",45000,"Verified","major_purchase","080xx",2,0,"May-00",0,7,0,3407,43.7,16
"23475",9000," 60 months",9.62,"B","B3","< 1 year","RENT",30000,"Source Verified","major_purchase","217xx",18.76,0,"Nov-04",0,6,0,1525,33.9,11
"149244",7200," 36 months",6.62,"A","A2","10+ years","MORTGAGE",127000,"Not Verified","credit_card","805xx",9.88,0,"Sep-99",0,11,0,37374,65.2,23
"250762",16000," 36 months",10.49,"B","B3","9 years","MORTGAGE",86000,"Verified","credit_card","070xx",0,0,"Jun-06",0,5,0,0,0,6
"793756",19500," 36 months",13.99,"C","C4","10+ years","RENT",61188,"Verified","debt_consolidation","902xx",6.9,0,"Feb-88",1,12,1,11730,70.7,24
"538193",35000," 60 months",15.41,"D","D1","6 years","OWN",152000,"Source Verified","debt_consolidation","224xx",31.08,1,"Nov-94",0,22,0,131524,39.1,40
"340664",6400," 36 months",11.67,"B","B4","1 year","MORTGAGE",38500,"Source Verified","credit_card","720xx",22.69,0,"Dec-99",0,12,1,5707,46.8,25
"318961",4000," 36 months",14.49,"C","C4","10+ years","MORTGAGE",57000,"Source Verified","home_improvement","454xx",9.45,0,"Sep-95",2,14,1,7431,43.5,59
"640964",10500," 36 months",6.24,"A","A2","9 years","MORTGAGE",129000,"Source Verified","debt_consolidation","752xx",18.38,0,"Aug-87",0,11,0,31290,98.4,30
"577841",24000," 36 months",6.89,"A","A3","10+ years","MORTGAGE",1e+05,"Verified","debt_consolidation","535xx",13.91,0,"Apr-04",0,10,0,12229,42.5,20
"819629",32950," 60 months",25.89,"G","G3","8 years","RENT",130000,"Source Verified","debt_consolidation","339xx",16.03,0,"Jan-08",4,24,0,18138,70,26
"453191",12000," 60 months",15.61,"C","C4","4 years","RENT",32000,"Verified","debt_consolidation","441xx",24.98,0,"Dec-06",0,9,0,7834,87,11
"38680",6000," 36 months",11.03,"C","C1","4 years","RENT",33276,"Not Verified","other","077xx",8.4,0,"Mar-99",0,3,0,7305,73,4
"519682",10000," 36 months",5.32,"A","A1","1 year","MORTGAGE",80000,"Source Verified","debt_consolidation","880xx",22.74,0,"Jan-95",0,16,0,18158,36.2,21
"707377",20000," 36 months",17.86,"D","D5","10+ years","RENT",109200,"Verified","debt_consolidation","234xx",16.01,0,"Dec-03",4,15,0,4742,12.1,31
"35037",5600," 36 months",8.59,"A","A4","5 years","MORTGAGE",39000,"Not Verified","credit_card","080xx",8.34,0,"Apr-02",1,9,0,2639,24,14
"232829",17500," 60 months",13.66,"C","C3","2 years","RENT",65000,"Not Verified","debt_consolidation","840xx",13.87,1,"Mar-87",0,12,0,17415,66,21
"437154",14000," 60 months",18.92,"D","D4","10+ years","MORTGAGE",46000,"Source Verified","debt_consolidation","937xx",14.92,0,"May-02",1,9,1,5030,39.6,40
"218977",21000," 60 months",14.65,"C","C2","4 years","MORTGAGE",72000,"Verified","credit_card","081xx",4.43,0,"Oct-05",0,10,0,7171,52.7,18
"323805",10000," 36 months",13.98,"C","C3","10+ years","MORTGAGE",82000,"Verified","debt_consolidation","076xx",8.04,0,"Apr-93",1,37,1,8581,11.6,42
"317270",30000," 36 months",16.29,"D","D2","6 years","RENT",78000,"Verified","debt_consolidation","773xx",33.46,0,"Oct-83",0,28,0,31763,55.2,50
"779363",6000," 36 months",11.53,"B","B5","< 1 year","RENT",33500,"Source Verified","debt_consolidation","300xx",23.07,0,"Mar-98",0,8,1,3021,29,16
"22733",12000," 36 months",6.17,"A","A3","10+ years","OWN",65000,"Not Verified","other","068xx",8.31,0,"Aug-83",0,4,0,4091,23.8,14
"690196",35000," 60 months",12.69,"C","C2","4 years","MORTGAGE",123500,"Verified","debt_consolidation","531xx",20.37,0,"May-01",1,19,0,47170,47.9,43
"76559",8000," 36 months",9.99,"B","B1","3 years","OWN",25000,"Not Verified","credit_card","673xx",21.6,0,"May-87",0,8,0,7705,45.1,18
"617784",15000," 36 months",6.24,"A","A2","n/a","MORTGAGE",60000,"Not Verified","debt_consolidation","384xx",28.68,0,"Nov-86",1,11,0,11743,20.1,34
"188378",28200," 60 months",24.89,"G","G3","6 years","MORTGAGE",85000,"Verified","debt_consolidation","713xx",31.47,0,"May-99",1,23,0,16605,74.5,49
"733287",6025," 36 months",13.33,"C","C3","5 years","RENT",32500,"Not Verified","credit_card","334xx",6.78,0,"Dec-04",0,16,0,5183,42.8,33
"363235",24550," 60 months",18.24,"D","D5","7 years","RENT",55832.42,"Source Verified","debt_consolidation","791xx",19.6,0,"Apr-93",0,6,0,15105,76.3,26
"497209",14400," 60 months",8.38,"B","B1","7 years","RENT",43000,"Source Verified","credit_card","120xx",27.17,0,"Mar-04",0,13,0,12286,70.2,24
"788979",5000," 36 months",12.69,"C","C2","10+ years","MORTGAGE",41000,"Not Verified","other","773xx",33.96,1,"Feb-84",0,21,0,15513,29.7,34
"770587",35000," 36 months",6.92,"A","A4","10+ years","MORTGAGE",187217,"Verified","credit_card","604xx",9.19,0,"Dec-83",0,16,0,65840,37,51
"650650",8000," 36 months",17.86,"D","D5","10+ years","RENT",45000,"Source Verified","vacation","278xx",20.85,0,"Nov-93",0,11,0,14339,46.3,31
"78088",24000," 60 months",9.25,"A","A5","10+ years","MORTGAGE",78000,"Source Verified","debt_consolidation","648xx",23.08,0,"Nov-84",0,12,0,23744,26.7,17
"23075",15000," 60 months",17.43,"E","E5","3 years","MORTGAGE",122500,"Verified","wedding","201xx",23.04,0,"Nov-96",0,11,0,43977,86.7,29
"705452",8000," 36 months",8.18,"B","B1","9 years","MORTGAGE",75000,"Source Verified","debt_consolidation","354xx",13.36,0,"Mar-05",0,8,1,6808,43.6,14
"415929",11500," 36 months",25.57,"F","F5","4 years","MORTGAGE",125000,"Source Verified","vacation","483xx",7.2,0,"Feb-06",5,13,0,7923,51.1,23
"867354",20000," 36 months",10.49,"B","B3","2 years","MORTGAGE",78000,"Source Verified","credit_card","877xx",14.71,0,"Mar-00",0,12,1,16231,58,21
"621430",35000," 36 months",13.99,"C","C4","3 years","OWN",120000,"Source Verified","debt_consolidation","071xx",14.94,2,"Mar-04",1,15,0,31552,64.3,26
"485735",20000," 60 months",9.76,"B","B3","10+ years","MORTGAGE",60000,"Not Verified","medical","815xx",21.26,0,"Feb-88",0,7,0,15704,39.3,11
"324855",25000," 36 months",12.99,"C","C1","10+ years","RENT",87900,"Source Verified","debt_consolidation","921xx",31.56,0,"Nov-96",0,13,0,23172,91.2,39
"57197",6000," 36 months",19.52,"D","D4","< 1 year","MORTGAGE",95000,"Verified","medical","852xx",16.81,0,"Feb-90",1,10,1,13301,49.6,57
"289818",9000," 36 months",8.39,"A","A5","10+ years","MORTGAGE",95000,"Source Verified","debt_consolidation","554xx",13.05,0,"Nov-82",0,8,0,1017,13.4,25
"11240",10000," 36 months",15.62,"D","D1","6 years","MORTGAGE",75000,"Not Verified","debt_consolidation","071xx",11.14,0,"Aug-03",0,17,0,11260,54.9,26
"364808",8400," 36 months",6.03,"A","A1","2 years","RENT",62000,"Not Verified","credit_card","941xx",29.75,0,"Feb-01",0,16,0,8892,74.7,27
"819587",8000," 36 months",15.61,"D","D1","2 years","RENT",40000,"Source Verified","debt_consolidation","553xx",17.88,0,"Feb-06",0,11,0,15142,62.8,19
"82149",15000," 36 months",9.99,"B","B1","2 years","MORTGAGE",80000,"Source Verified","debt_consolidation","553xx",13.76,3,"Mar-98",0,8,0,38048,43.9,23
"302535",10000," 36 months",14.99,"C","C5","10+ years","MORTGAGE",42000,"Source Verified","debt_consolidation","859xx",12.57,0,"May-98",2,10,1,6701,41.6,19
"603651",8400," 36 months",7.89,"A","A5","7 years","RENT",40000,"Verified","credit_card","104xx",17.73,0,"Sep-05",0,11,0,16879,67.5,21
"249620",20000," 36 months",17.14,"D","D4","4 years","MORTGAGE",54000,"Source Verified","home_improvement","934xx",22.02,2,"Aug-03",1,10,0,6270,44.2,24
"692075",1000," 36 months",13.33,"C","C3","2 years","RENT",34500,"Not Verified","debt_consolidation","631xx",25.18,0,"Apr-04",0,12,0,5529,59.5,19
"188295",21000," 36 months",14.09,"B","B5","10+ years","MORTGAGE",70000,"Verified","debt_consolidation","716xx",30.29,0,"Jan-94",0,12,0,15176,92.5,30
"16968",13000," 36 months",7.29,"A","A4","6 years","RENT",87000,"Verified","debt_consolidation","917xx",10.59,0,"Aug-93",1,14,0,30237,27.9,31
"284600",20725," 36 months",14.49,"C","C4","n/a","OWN",72000,"Source Verified","credit_card","287xx",24.82,0,"Jun-98",0,11,0,13572,50.8,28
