"","loan_amnt","term","int_rate","grade","sub_grade","emp_length","home_ownership","annual_inc","verification_status","purpose","zip_code","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc"
"247733",16000," 60 months",11.44,"B","B4","10+ years","MORTGAGE",78600,"Source Verified","debt_consolidation","322xx",9.73,1,"Oct-93",0,11,0,14752,58.5,19
"425492",27000," 36 months",8.9,"A","A5","9 years","OWN",77726,"Source Verified","debt_consolidation","232xx",21,0,"Aug-94",0,18,0,12305,41.7,36
"171853",35000," 36 months",13.11,"B","B4","10+ years","MORTGAGE",130000,"Verified","credit_card","606xx",12.14,0,"May-99",1,19,0,42313,49.4,59
"835421",10200," 60 months",17.57,"D","D4","10+ years","RENT",53000,"Source Verified","debt_consolidation","906xx",29.33,0,"Nov-06",1,17,1,9613,42.2,18
"269368",5000," 36 months",7.69,"A","A4","5 years","RENT",40000,"Source Verified","vacation","940xx",8.13,0,"Jan-09",1,10,0,5552,25.6,13
"312222",19800," 36 months",10.99,"B","B3","3 years","RENT",45000,"Not Verified","debt_consolidation","104xx",29.48,0,"Apr-06",1,10,0,13148,77.8,15
"373100",32000," 36 months",10.15,"B","B2","2 years","RENT",130000,"Verified","debt_consolidation","760xx",23.07,0,"Jan-94",0,15,0,32246,75,34
"155416",28000," 36 months",7.62,"A","A3","1 year","RENT",126000,"Verified","home_improvement","303xx",18.48,0,"Jun-95",0,18,0,16111,21,30
"209486",12000," 36 months",12.12,"B","B3","10+ years","MORTGAGE",65000,"Not Verified","debt_consolidation","761xx",15.07,0,"Aug-01",0,9,0,12386,89.8,11
"377763",10000," 60 months",14.99,"C","C5","2 years","RENT",64000,"Source Verified","debt_consolidation","913xx",10.14,0,"Dec-96",0,7,0,8855,86.8,14
"612707",10000," 60 months",16.55,"D","D2","9 years","RENT",37440,"Source Verified","debt_consolidation","770xx",30.8,0,"Sep-08",0,7,0,14662,69.2,8
"788473",15125," 60 months",25.8,"G","G1","2 years","RENT",55000,"Source Verified","debt_consolidation","112xx",19,0,"Sep-06",2,9,0,8629,21.9,23
"80323",13000," 36 months",17.76,"D","D1","10+ years","MORTGAGE",51000,"Source Verified","debt_consolidation","797xx",33.95,0,"Apr-05",5,18,0,12140,55.9,23
"624684",12000," 36 months",10.99,"B","B4","2 years","RENT",64500,"Source Verified","debt_consolidation","890xx",6.7,0,"Sep-97",0,12,0,12081,27.1,16
"534301",12000," 36 months",12.05,"C","C1","2 years","MORTGAGE",42500,"Source Verified","debt_consolidation","802xx",29.03,0,"Feb-97",0,15,0,16572,62.1,36
"452963",5000," 36 months",13.98,"C","C1","10+ years","OWN",135000,"Source Verified","home_improvement","760xx",16.92,0,"Aug-77",2,21,1,7113,34.9,50
"519193",20000," 36 months",10.99,"B","B4","7 years","OWN",150000,"Source Verified","home_improvement","338xx",17.9,0,"Sep-87",0,9,1,87202,0,17
"251232",19000," 60 months",13.66,"C","C3","10+ years","RENT",75000,"Source Verified","debt_consolidation","060xx",18.99,0,"Feb-98",1,14,0,24900,46.4,26
"501584",24250," 60 months",13.18,"C","C3","1 year","RENT",72000,"Not Verified","debt_consolidation","945xx",14.27,0,"Nov-06",1,11,0,8010,19.4,15
"580476",16000," 36 months",9.17,"B","B2","3 years","RENT",57000,"Source Verified","credit_card","926xx",8.66,1,"Apr-91",0,9,0,15945,62,17
"253014",13925," 60 months",14.31,"C","C4","4 years","RENT",35000,"Source Verified","major_purchase","330xx",26.65,0,"Feb-05",1,13,0,2533,11.5,24
"561586",28000," 36 months",7.89,"A","A5","4 years","MORTGAGE",80000,"Not Verified","debt_consolidation","125xx",30.93,0,"Sep-03",1,20,0,10068,35.6,31
"384986",6500," 36 months",14.49,"C","C4","10+ years","RENT",40000,"Source Verified","debt_consolidation","352xx",34.53,0,"Nov-01",1,8,0,1923,41.8,18
"380346",32750," 60 months",18.99,"E","E1","7 years","OWN",86350,"Source Verified","debt_consolidation","328xx",18.22,0,"Oct-03",1,13,0,22629,86,21
"403507",22750," 36 months",17.57,"D","D2","< 1 year","MORTGAGE",120000,"Not Verified","debt_consolidation","891xx",21.44,0,"Apr-97",0,18,0,18916,73.9,36
"72613",4800," 36 months",18.55,"D","D2","10+ years","OWN",2e+05,"Source Verified","major_purchase","880xx",7.48,1,"Sep-85",1,14,0,14957,35.3,25
"505313",25000," 36 months",6.24,"A","A2","2 years","MORTGAGE",160000,"Not Verified","debt_consolidation","778xx",21.86,0,"Apr-96",1,16,0,12757,29.8,35
"618972",10000," 36 months",11.53,"B","B5","2 years","RENT",36000,"Source Verified","debt_consolidation","462xx",14.27,0,"Aug-06",0,10,0,9645,69.9,11
"847195",3600," 36 months",9.49,"B","B2","1 year","RENT",22000,"Not Verified","credit_card","875xx",8.84,0,"Sep-88",0,5,0,3366,42.1,7
"576433",14000," 60 months",8.18,"B","B1","10+ years","RENT",45000,"Not Verified","credit_card","296xx",18.45,0,"Mar-96",0,7,0,11370,51.7,12
"322347",10000," 36 months",16.99,"D","D3","2 years","MORTGAGE",79000,"Verified","credit_card","463xx",9.31,0,"Dec-03",5,10,0,7489,107,24
"52281",9125," 36 months",11.99,"B","B3","5 years","OWN",53000,"Verified","credit_card","014xx",21.17,0,"Aug-01",0,8,0,31856,83.4,19
"107816",6650," 36 months",13.68,"C","C1","1 year","RENT",32000,"Verified","credit_card","405xx",3.19,0,"Jan-04",0,6,1,4654,37.5,8
"123855",30000," 36 months",15.8,"C","C3","2 years","MORTGAGE",85000,"Verified","debt_consolidation","850xx",19.24,0,"Jun-01",3,10,0,19506,53.4,21
"285097",35000," 36 months",13.98,"C","C3","8 years","OWN",1084773,"Source Verified","credit_card","153xx",7.9,0,"Aug-83",0,24,0,285914,77.7,56
"862924",20325," 36 months",13.66,"C","C3","< 1 year","MORTGAGE",150000,"Verified","debt_consolidation","156xx",8.96,0,"Oct-11",0,11,0,8786,42.9,13
"202184",27300," 60 months",21.98,"E","E4","8 years","MORTGAGE",70000,"Source Verified","other","761xx",14.01,1,"Nov-04",0,6,0,4633,57.2,22
"606979",3000," 36 months",15.61,"D","D1","n/a","MORTGAGE",51500,"Verified","moving","029xx",17.85,1,"Jun-71",0,7,0,7145,82.1,24
"693698",12150," 60 months",18.55,"E","E2","5 years","MORTGAGE",55000,"Source Verified","debt_consolidation","749xx",28.15,0,"Dec-97",1,9,0,13872,85.6,19
"832955",3000," 36 months",16.55,"D","D2","10+ years","RENT",76000,"Not Verified","debt_consolidation","945xx",12.84,0,"May-02",2,7,1,10181,85.6,17
"47735",14450," 36 months",8.9,"A","A5","10+ years","MORTGAGE",45000,"Verified","credit_card","300xx",27.15,0,"Jun-99",2,10,0,14466,59.3,21
"580124",10000," 36 months",7.89,"A","A5","3 years","MORTGAGE",53000,"Source Verified","credit_card","923xx",19.9,4,"Jun-91",0,14,0,8325,43.8,30
"117867",10050," 36 months",11.55,"B","B3","10+ years","MORTGAGE",29054.4,"Verified","debt_consolidation","481xx",24.37,0,"Aug-96",0,6,1,7358,80,13
"442927",10000," 36 months",9.67,"B","B1","7 years","MORTGAGE",65000,"Not Verified","debt_consolidation","490xx",15.79,0,"Oct-96",0,8,1,11172,59.7,29
"681714",12000," 60 months",16.55,"D","D2","1 year","RENT",35400,"Source Verified","debt_consolidation","667xx",30.98,1,"May-04",0,22,0,10847,71.4,46
"225504",15000," 36 months",12.12,"B","B3","6 years","RENT",48000,"Verified","credit_card","180xx",9.78,0,"Apr-99",0,13,0,10680,56.2,25
"494530",35000," 60 months",16.99,"D","D3","8 years","MORTGAGE",86000,"Source Verified","debt_consolidation","206xx",28.62,0,"Aug-06",0,13,0,24379,69.9,25
"442447",7500," 36 months",7.62,"A","A3","5 years","MORTGAGE",150000,"Not Verified","credit_card","910xx",6.89,0,"Jan-88",1,7,0,36211,40.7,15
"226380",3000," 36 months",12.42,"B","B4","4 years","RENT",51600,"Source Verified","credit_card","945xx",12.93,0,"Jan-08",2,10,0,2490,20.1,17
"695100",6000," 36 months",5.32,"A","A1","7 years","RENT",64000,"Not Verified","debt_consolidation","532xx",22.28,0,"Aug-92",0,26,0,6177,7.8,31
"133660",4300," 36 months",18.75,"D","D3","n/a","RENT",18000,"Verified","credit_card","937xx",27.47,0,"Sep-08",2,6,0,6259,81.3,7
"395788",3000," 36 months",15.31,"C","C4","2 years","RENT",30000,"Not Verified","debt_consolidation","275xx",14.76,1,"Nov-73",1,4,0,2339,90,12
"280405",6800," 36 months",12.49,"B","B5","7 years","MORTGAGE",80000,"Source Verified","credit_card","492xx",9.35,0,"Jul-01",1,13,1,10973,62,19
"571646",15000," 36 months",13.99,"C","C4","8 years","OWN",38000,"Verified","debt_consolidation","322xx",18.45,0,"Jan-92",1,14,0,17462,45.5,19
"309492",24000," 60 months",13.98,"C","C3","10+ years","MORTGAGE",55000,"Source Verified","credit_card","228xx",21.62,0,"Jan-01",1,11,0,29625,67.2,24
"865601",5275," 36 months",16.49,"D","D3","10+ years","MORTGAGE",96000,"Verified","debt_consolidation","917xx",5.14,0,"Oct-04",1,8,0,1983,34.8,16
"677715",4800," 36 months",14.65,"C","C5","1 year","RENT",69500,"Source Verified","debt_consolidation","432xx",31.52,0,"May-03",0,17,0,16471,86.2,28
"206713",7000," 36 months",8.9,"A","A5","10+ years","MORTGAGE",60000,"Not Verified","debt_consolidation","150xx",23.58,0,"Jul-98",0,13,0,8625,39.2,31
"482941",8600," 36 months",12.59,"C","C2","n/a","RENT",27000,"Verified","debt_consolidation","606xx",12.31,0,"Sep-06",1,9,0,13846,92.9,17
"6988",2400," 36 months",14.27,"C","C2","1 year","MORTGAGE",26000,"Not Verified","credit_card","212xx",21.09,0,"Apr-00",1,6,1,7623,76.2,8
"639778",18500," 60 months",13.99,"C","C4","2 years","RENT",63000,"Source Verified","credit_card","061xx",29.43,1,"Sep-03",0,9,0,22400,92.6,12
"425350",7350," 36 months",15.61,"C","C5","< 1 year","MORTGAGE",30000,"Not Verified","debt_consolidation","600xx",21.6,0,"Jul-01",2,10,0,4014,52.1,14
"744889",8400," 36 months",16.55,"D","D2","3 years","RENT",20000,"Source Verified","credit_card","945xx",34.75,0,"Jun-09",0,4,0,9360,93.6,5
"593514",24000," 60 months",9.99,"B","B3","4 years","MORTGAGE",71000,"Not Verified","debt_consolidation","351xx",25.98,0,"Jan-00",0,9,0,24250,63.2,18
"211415",15000," 36 months",15.81,"C","C4","5 years","RENT",50000,"Not Verified","debt_consolidation","331xx",15.7,1,"Jan-98",2,10,0,13433,59.2,28
"541183",35000," 60 months",16.99,"D","D3","7 years","MORTGAGE",90000,"Source Verified","credit_card","431xx",22.87,1,"Jun-87",1,8,0,4225,61.2,31
"643778",35000," 36 months",11.53,"B","B5","< 1 year","RENT",1e+05,"Verified","credit_card","941xx",10.2,0,"Aug-04",0,17,1,27888,41.6,46
"436341",2625," 36 months",24.08,"F","F2","10+ years","MORTGAGE",37440,"Verified","other","809xx",28.65,0,"Feb-02",0,18,0,15602,84.3,28
"48113",16000," 60 months",17.57,"D","D2","1 year","MORTGAGE",95000,"Verified","debt_consolidation","272xx",18.61,0,"Apr-93",1,7,0,18511,56.4,27
"60725",12000," 36 months",11.99,"B","B3","5 years","MORTGAGE",75000,"Verified","debt_consolidation","604xx",15.1,0,"Feb-08",2,14,0,13950,41.5,28
"538482",15000," 36 months",13.67,"C","C4","1 year","RENT",46000,"Verified","debt_consolidation","100xx",14.84,0,"Apr-11",0,14,0,21850,44.5,17
"745605",20450," 60 months",18.25,"E","E1","10+ years","MORTGAGE",51174,"Source Verified","debt_consolidation","986xx",26.48,1,"Jun-92",0,8,0,27584,93.5,15
"415158",7000," 36 months",11.99,"B","B3","3 years","RENT",67500,"Source Verified","debt_consolidation","600xx",14.79,0,"Mar-04",0,10,1,6827,34.5,14
"458755",10000," 36 months",8.9,"A","A5","10+ years","MORTGAGE",43000,"Source Verified","credit_card","453xx",15.49,0,"Feb-99",0,10,0,8132,30.2,18
"773693",7000," 36 months",11.53,"B","B5","< 1 year","RENT",17000,"Source Verified","credit_card","216xx",10.45,0,"Jan-08",1,5,0,4085,47.5,6
"616124",9000," 36 months",8.18,"B","B1","2 years","RENT",31000,"Verified","credit_card","370xx",29.46,1,"Nov-97",0,9,0,11394,85,37
"607914",10000," 36 months",11.53,"B","B5","7 years","RENT",80000,"Verified","other","112xx",17.98,3,"Sep-07",0,11,0,3058,47.8,19
"99588",5000," 36 months",15.22,"C","C3","2 years","RENT",65000,"Not Verified","car","175xx",16.15,3,"Nov-92",1,9,0,9258,38.4,23
"710781",8000," 36 months",6.24,"A","A2","8 years","MORTGAGE",67000,"Not Verified","debt_consolidation","208xx",3.33,0,"May-93",0,7,0,10648,36.8,19
"824817",5000," 36 months",14.65,"C","C5","10+ years","RENT",125000,"Verified","house","481xx",19.16,4,"Sep-95",0,10,0,12052,48.4,23
"177462",17000," 36 months",12.12,"B","B3","10+ years","MORTGAGE",50000,"Not Verified","credit_card","594xx",19.15,0,"Dec-01",1,13,0,17530,33.4,26
"670406",16000," 60 months",12.29,"C","C1","9 years","MORTGAGE",62000,"Not Verified","debt_consolidation","199xx",20.5,2,"May-02",0,11,0,15349,69.5,17
"496127",15000," 60 months",13.67,"C","C4","10+ years","OWN",170000,"Source Verified","credit_card","750xx",24.1,2,"Oct-84",0,22,0,163258,63.6,41
"485431",12000," 36 months",13.18,"C","C3","10+ years","RENT",70000,"Source Verified","debt_consolidation","302xx",21,3,"Jan-05",0,5,0,980,11.8,16
"106274",10000," 36 months",11.55,"B","B3","10+ years","RENT",170000,"Source Verified","credit_card","900xx",19.57,3,"Jul-94",0,10,0,19133,78.7,28
"514870",30000," 36 months",14.33,"C","C5","6 years","MORTGAGE",145000,"Verified","debt_consolidation","600xx",21.08,0,"Aug-99",0,13,0,36596,81.5,28
"657635",13000," 60 months",13.99,"C","C4","3 years","OWN",66000,"Source Verified","debt_consolidation","432xx",15.27,2,"Nov-89",0,17,0,4168,49,35
"221661",8400," 36 months",17.27,"D","D1","3 years","OWN",45000,"Source Verified","other","113xx",6.16,0,"Jan-06",3,9,0,6568,64.7,11
"430798",8000," 36 months",6.03,"A","A1","2 years","RENT",55120,"Source Verified","debt_consolidation","078xx",20.14,0,"Sep-04",0,10,0,2098,21,21
"377714",6000," 36 months",9.17,"B","B1","8 years","MORTGAGE",40000,"Source Verified","debt_consolidation","925xx",22.92,0,"Sep-01",1,11,0,6383,51.1,22
"768253",23125," 60 months",17.86,"D","D5","1 year","RENT",61000,"Source Verified","debt_consolidation","600xx",23.53,0,"Dec-04",3,14,0,20809,68.5,29
"446909",35000," 60 months",20.5,"E","E1","1 year","RENT",88000,"Verified","debt_consolidation","331xx",9.7,0,"Apr-04",0,10,0,15915,91.5,25
"350061",12000," 36 months",13.35,"C","C2","6 years","RENT",50000,"Not Verified","debt_consolidation","347xx",19.35,1,"Feb-03",0,7,0,5139,84.2,25
"851305",25000," 36 months",12.39,"C","C1","10+ years","MORTGAGE",145000,"Verified","debt_consolidation","112xx",7.32,0,"Jul-98",0,6,0,2900,64.4,15
"20655",11000," 60 months",14.91,"D","D2","10+ years","RENT",60000,"Verified","debt_consolidation","840xx",19.7,0,"Nov-90",1,19,1,8589,45.9,43
"545259",35000," 60 months",18.2,"E","E1","6 years","MORTGAGE",127000,"Source Verified","home_improvement","750xx",10.13,0,"May-90",1,8,1,440,10,35
"345226",9025," 36 months",14.49,"C","C4","10+ years","RENT",38840,"Verified","debt_consolidation","336xx",6.86,0,"Feb-97",0,11,1,3458,28.3,14
"769078",12000," 60 months",12.69,"C","C2","10+ years","RENT",70000,"Source Verified","credit_card","191xx",13.63,1,"Oct-88",1,7,0,11513,72.9,13
"449710",10000," 36 months",12.85,"B","B4","10+ years","RENT",40000,"Not Verified","debt_consolidation","976xx",19.64,1,"Mar-00",0,6,0,8800,73.9,18
"379304",2200," 36 months",23.43,"F","F1","3 years","MORTGAGE",41600,"Verified","home_improvement","750xx",4.47,0,"Aug-06",1,14,0,6215,46.4,16
"114073",8000," 36 months",9.71,"B","B1","3 years","RENT",28000,"Not Verified","debt_consolidation","925xx",24.81,0,"Dec-03",0,10,0,8536,48.8,13
"15583",6000," 36 months",7.49,"A","A4","4 years","RENT",65000,"Not Verified","debt_consolidation","146xx",18.85,0,"Nov-97",0,10,0,21456,47.6,41
"226160",9000," 36 months",10.74,"B","B2","< 1 year","RENT",41000,"Source Verified","debt_consolidation","787xx",15.88,0,"May-05",1,10,0,12860,55.4,19
"374892",12000," 36 months",14.99,"C","C5","2 years","RENT",60000,"Source Verified","credit_card","431xx",28.56,0,"Nov-95",0,16,2,37293,63.5,23
"448673",31175," 36 months",19.97,"D","D5","5 years","MORTGAGE",2e+05,"Source Verified","home_improvement","801xx",4.41,1,"Oct-96",2,13,0,6489,45.4,50
"777791",19775," 60 months",18.25,"E","E1","10+ years","MORTGAGE",75000,"Not Verified","debt_consolidation","196xx",22.18,0,"Sep-01",1,16,0,31836,83.6,31
"58339",15000," 36 months",14.3,"C","C1","5 years","MORTGAGE",125000,"Verified","debt_consolidation","890xx",18.2,1,"Aug-03",2,11,0,21840,91.8,23
"692224",12600," 60 months",13.99,"C","C4","2 years","MORTGAGE",37000,"Source Verified","debt_consolidation","370xx",25.28,0,"Nov-01",0,11,0,13731,38.4,18
"857149",14400," 60 months",14.31,"C","C4","n/a","RENT",55000,"Source Verified","debt_consolidation","216xx",30.9,0,"May-02",0,10,0,13544,52.3,23
